ID,Name,Effect,Type,Kind,Power,Accuracy,Status Effect,Status Chance,Stat Change Effected,Stat Change Chance
2,Karate Chop,Has a high critical hit ratio.,Fighting,Physical,50,100%,,,,
5,Mega Punch,Deals damage with no additional effect.,Normal,Physical,80,85%,,,,
7,Fire Punch,Has a 10% chance to burn the target.,Fire,Status,75,100%,BURN,10%,,
8,Ice Punch,Has a 10% chance to freeze the target.,Ice,Status,75,100%,FREEZE,10%,,
9,ThunderPunch,Has a 10% chance to paralyze the target.,Electric,Status,75,100%,PARALYZE,10%,,
10,Scratch,Deals damage with no additional effect.,Normal,Physical,40,100%,,,,
11,ViceGrip,Deals damage with no additional effect.,Normal,Physical,55,100%,,,,
16,Gust,Power doubles if the target is in mid-air via Fly or Bounce.,Flying,Special,40,100%,,,,
17,Wing Attack,Deals damage with no additional effect.,Flying,Physical,60,100%,,,,
19,Fly,On the first turn the user flies into the air becoming uncontrollable and evades most attacks. Gust Twister Thunder and Sky Uppercut have normal accuracy against a mid-air Pokemon with Gust and Twister also gaining doubled power. The user may also be hit in mid-air if it was previously targeted by Lock-On or Mind Reader or if it is attacked by a Pokemon with No Guard. On the second turn the user attacks.,Flying,Physical,90,95%,,,,
22,Vine Whip,Deals damage with no additional effect.,Grass,Physical,35,100%,,,,
23,Stomp,Has a 30% chance to make the target flinch; also retains its normal accuracy and gains doubled power against Minimized Pokemon.,Normal,Status,65,100%,FLINCH,30%,,
24,Double Kick,Strikes twice; if the first hit breaks the target's Substitute the real Pokemon will take damage from the second hit.,Fighting,Physical,30,100%,,,,
25,Mega Kick,Deals damage with no additional effect.,Normal,Physical,120,75%,,,,
28,Sand-Attack,Lowers the target's Accuracy by 1 stage.,Ground,acc-,0,100%,,,T,100%
29,Headbutt,Has a 30% chance to make the target flinch.,Normal,Status,70,100%,FLINCH,30%,,
30,Horn Attack,Deals damage with no additional effect.,Normal,Physical,65,100%,,,,
33,Tackle,Deals damage with no additional effect.,Normal,Physical,50,100%,,,,
34,Body Slam,Has a 30% chance to paralyze the target.,Normal,Status,85,100%,PARALYZE,30%,,
35,Wrap,Traps the target for 5-6 turns causing damage equal to 1/16 of its max HP each turn; this trapped effect can be broken by Rapid Spin. The target can still switch out if it is holding Shed Shell or uses Baton Pass or U-Turn.,Normal,Physical,15,90%,,,,
36,Take Down,The user receives 1/4 recoil damage.,Normal,Physical,90,85%,,,,
38,Double-Edge,The user receives 1/3 recoil damage.,Normal,Physical,120,100%,,,,
40,Poison Sting,Has a 30% chance to poison the target.,Poison,Status,15,100%,POISON,30%,,
41,Twineedle,Strikes twice; if the first hit breaks the target's Substitute the real Pokemon will take damage from the second hit. Has a 20% chance to poison the target .,Bug,Status,25,100%,POISON,20%,,
42,Pin Missile,Attacks 2-5 times in one turn; if one of these attacks breaks a target's Substitute the target will take damage for the rest of the hits. This move has a 3/8 chance to hit twice a 3/8 chance to hit three times a 1/8 chance to hit four times and a 1/8 chance to hit five times. If the user of this move has Skill Link this move will always strike five times.,Bug,Physical,14,85%,,,,
44,Bite,Has a 30% chance to make the target flinch.,Dark,Status,60,100%,FLINCH,30%,,
45,Growl,Lowers the target's Attack by 1 stage.,Normal,a-,0,100%,,,T,100%
51,Acid,Has a 10% chance to lower the target's Special Defense by 1 stage.,Poison,sd-,40,100%,,,T,10%
52,Ember,Has a 10% chance to burn the target.,Fire,Status,40,100%,BURN,10%,,
53,Flamethrower,Has a 10% chance to burn the target.,Fire,Status,95,100%,BURN,10%,,
55,Water Gun,Deals damage with no additional effect.,Water,Special,40,100%,,,,
56,Hydro Pump,Deals damage with no additional effect.,Water,Special,120,80%,,,,
57,Surf,Power doubles against a target who is in the middle of using Dive.,Water,Physical,95,100%,,,,
58,Ice Beam,Has a 10% chance to freeze the target.,Ice,Status,95,100%,FREEZE,10%,,
59,Blizzard,Has a 10% chance to freeze the target. During Hail this move will never miss under normal circumstances and has a 30% chance to hit through a target's Protect or Detect.,Ice,Status,120,70%,FREEZE,10%,,
60,Psybeam,Has a 10% chance to confuse the target.,Psychic,Status,65,100%,CONFUSE,10%,,
61,BubbleBeam,Has a 10% chance to lower the target's Speed by 1 stage.,Water,Special,65,100%,,,,
62,Aurora Beam,Has a 10% chance to lower the target's Attack by 1 stage.,Ice,Special,65,100%,,,,
63,Hyper Beam,The user recharges during its next turn; as a result until the end of the next turn the user becomes uncontrollable.,Normal,Special,150,90%,,,,
65,Drill Peck,Deals damage with no additional effect.,Flying,Physical,80,100%,,,,
66,Submission,The user receives 1/4 recoil damage.,Fighting,Physical,80,80%,,,,
70,Strength,Deals damage with no additional effect.,Normal,Physical,80,100%,,,,
73,Leech Seed,The user steals 1/8 of the target's max HP until the target is switched out is KO'ed or uses Rapid Spin; does not work against Grass-type Pokemon or Pokemon behind Substitutes.,Grass,hp+,0,90%,,,,
74,Growth,"Raises the user's Attack and Special Attack by 1 stage. If the weather is Sun Growth raises Attack and SpAttk two stages each. ",Normal,a+,0,,,,U,100%
75,Razor Leaf,Has a high critical hit ratio.,Grass,Physical,55,95%,,,,
76,SolarBeam,The user prepares on turn one becoming uncontrollable and then attacks on turn two. During Sunny Day this move fires immediately; during Rain Dance Sandstorm and Hail this move has half power.,Grass,Special,120,100%,,,,
77,PoisonPowder,Poisons the target.,Poison,Status,0,75%,POISON,100%,,
78,Stun Spore,Paralyzes the target.,Grass,Status,0,75%,PARALYZE,100%,,
79,Sleep Powder,Puts the target to sleep.,Grass,Status,0,75%,SLEEP,100%,,
80,Petal Dance,The user attacks uncontrollably for 2-3 turns and then gets confused.,Grass,Special,120,100%,,,,
81,String Shot,Lowers the target's Speed by 1 stage.,Bug,s-,0,95%,,,T,100%
85,Thunderbolt,Has a 10% chance to paralyze the target.,Electric,Status,95,100%,PARALYZE,10%,,
86,Thunder Wave,Paralyzes the target. This move activates Motor Drive.,Electric,Status,0,100%,PARALYZE,100%,,
